,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,F04,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F06,FAM,ORF1ab_covid,Unkn,,,3.38905037611444,3.38905037611444,0,NaN,NaN,NaN,0,60,
,F07,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F08,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F09,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F10,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F11,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F12,FAM,ORF1ab_covid,Unkn,,,1.07268412109594,1.07268412109594,0,NaN,NaN,NaN,0,60,
,G01,FAM,ORF1ab_covid,Unkn,,,2.90410192824482,2.90410192824482,0,NaN,NaN,NaN,0,60,
,G02,FAM,ORF1ab_covid,Unkn,,,4.96402733410967,4.96402733410967,0,NaN,NaN,NaN,0,60,
,G03,FAM,ORF1ab_covid,Unkn,,,1.49558722748411,1.49558722748411,0,NaN,NaN,NaN,0,60,
,G04,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G05,FAM,ORF1ab_covid,Unkn,,,1.6028060074898,1.6028060074898,0,NaN,NaN,NaN,0,60,
,G06,FAM,ORF1ab_covid,Unkn,,,3.5780194854416,3.5780194854416,0,NaN,NaN,NaN,0,60,
,G07,FAM,ORF1ab_covid,Unkn,,,3.18486178020856,3.18486178020856,0,NaN,NaN,NaN,0,60,
,G08,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,G09,FAM,ORF1ab_covid,Unkn,,,3.00628422002492,3.00628422002492,0,NaN,NaN,NaN,0,60,
,G10,FAM,ORF1ab_covid,Unkn,,,3.54947831997037,3.54947831997037,0,NaN,NaN,NaN,0,60,
,G11,FAM,ORF1ab_covid,Unkn,,,2.8919314850858,2.8919314850858,0,NaN,NaN,NaN,0,60,
,G12,FAM,ORF1ab_covid,Unkn,,,3.08976802774276,3.08976802774276,0,NaN,NaN,NaN,0,60,
,H01,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H02,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H03,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H04,FAM,ORF1ab_covid,Unkn,,,2.91094769304381,2.91094769304381,0,NaN,NaN,NaN,0,60,
,H05,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H06,FAM,ORF1ab_covid,Unkn,,,3.53105513001187,3.53105513001187,0,NaN,NaN,NaN,0,60,
,H07,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H08,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H09,FAM,ORF1ab_covid,Unkn,,,1.55085611160612,1.55085611160612,0,NaN,NaN,NaN,0,60,
,H10,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,H11,FAM,ORF1ab_covid,Unkn,,,1.21149496774596,1.21149496774596,0,NaN,NaN,NaN,0,60,
,H12,FAM,ORF1ab_covid,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
