,Well,Fluor,Target,Content,Sample,Cq,SQ
,G09,Cy5,E_covid,Unkn,,3.25606818191918,NaN
,G10,Cy5,E_covid,Unkn,,4.99428022226385,NaN
,G11,Cy5,E_covid,Unkn,,NaN,NaN
,G12,Cy5,E_covid,Unkn,,3.04729157890158,NaN
,H01,Cy5,E_covid,Unkn,,2.58540922435762,NaN
,H02,Cy5,E_covid,Unkn,,NaN,NaN
,H03,Cy5,E_covid,Unkn,,1.30805826939297,NaN
,H04,Cy5,E_covid,Unkn,,NaN,NaN
,H05,Cy5,E_covid,Unkn,,NaN,NaN
,H06,Cy5,E_covid,Unkn,,NaN,NaN
,H07,Cy5,E_covid,Unkn,,3.41443514917228,NaN
,H08,Cy5,E_covid,Unkn,,NaN,NaN
,H09,Cy5,E_covid,Unkn,,3.37885192728852,NaN
,H10,Cy5,E_covid,Unkn,,2.51113492530464,NaN
,H11,Cy5,E_covid,Unkn,,NaN,NaN
,H12,Cy5,E_covid,Unkn,,2.95707691012587,NaN
,A01,FAM,ORF1ab_covid,Neg Ctrl,,NaN,NaN
,A02,FAM,ORF1ab_covid,Unkn,,1.6383240825797,NaN
,A03,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,A04,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,A05,FAM,ORF1ab_covid,Unkn,,2.9513518671581,NaN
,A06,FAM,ORF1ab_covid,Unkn,,1.27342229826397,NaN
,A07,FAM,ORF1ab_covid,Unkn,,3.58767423310525,NaN
,A08,FAM,ORF1ab_covid,Unkn,,1.2283640234184,NaN
,A09,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,A10,FAM,ORF1ab_covid,Pos Ctrl,,1.40196388440753,NaN
,A11,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,A12,FAM,ORF1ab_covid,Unkn,,1.27779780709566,NaN
,B01,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,B02,FAM,ORF1ab_covid,Unkn,,3.05191694579875,NaN
,B03,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,B04,FAM,ORF1ab_covid,Unkn,,1.63145633897807,NaN
,B05,FAM,ORF1ab_covid,Unkn,,3.28791980881313,NaN
,B06,FAM,ORF1ab_covid,Unkn,,3.55895132389038,NaN
,B07,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,B08,FAM,ORF1ab_covid,Unkn,,3.49652507047232,NaN
,B09,FAM,ORF1ab_covid,Unkn,,3.481056576819,NaN
,B10,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,B11,FAM,ORF1ab_covid,Unkn,,3.22187425669043,NaN
,B12,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,C01,FAM,ORF1ab_covid,Unkn,,1.00139019612083,NaN
,C02,FAM,ORF1ab_covid,Unkn,,1.50264865345164,NaN
,C03,FAM,ORF1ab_covid,Unkn,,3.44334934648163,NaN
,C04,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,C05,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,C06,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,C07,FAM,ORF1ab_covid,Unkn,,1.2647309944064,NaN
,C08,FAM,ORF1ab_covid,Unkn,,3.1428585270303,NaN
,C09,FAM,ORF1ab_covid,Unkn,,1.33054797862449,NaN
,C10,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,C11,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,C12,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,D01,FAM,ORF1ab_covid,Unkn,,1.58938942111177,NaN
,D02,FAM,ORF1ab_covid,Unkn,,1.35489796032168,NaN
,D03,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,D04,FAM,ORF1ab_covid,Unkn,,4.94782113203711,NaN
,D05,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,D06,FAM,ORF1ab_covid,Unkn,,4.94812452670862,NaN
,D07,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,D08,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,D09,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,D10,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,D11,FAM,ORF1ab_covid,Unkn,,1.05287198734011,NaN
,D12,FAM,ORF1ab_covid,Unkn,,2.84700796241836,NaN
,E01,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,E02,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,E03,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,E04,FAM,ORF1ab_covid,Unkn,,2.93271535446282,NaN
,E05,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,E06,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,E07,FAM,ORF1ab_covid,Unkn,,1.14478310975699,NaN
,E08,FAM,ORF1ab_covid,Unkn,,3.11876191577144,NaN
,E09,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,E10,FAM,ORF1ab_covid,Unkn,,3.03929612554631,NaN
,E11,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,E12,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,F01,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,F02,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,F03,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,F04,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,F05,FAM,ORF1ab_covid,Unkn,,NaN,NaN
,F06,FAM,ORF1ab_covid,Unkn,,3.38905037611444,NaN
